2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Original creado.
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Original:
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato creado.
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Subsistema creado.
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: empieza.
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Original creado.
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Original:
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato creado.
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Subsistema creado.
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Original creado.
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Original:
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato creado.
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Subsistema creado.
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Construyendo tabla T...
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Tabla T construida.
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Evaluando 50 mejores candidatos (heurístico).
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato 1: φ=4.804688
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato 2: φ=4.816406
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato 3: φ=4.800781
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato 4: φ=5.093750
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato 5: φ=5.000000
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato 6: φ=4.726562
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato 7: φ=4.621094
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato 8: φ=5.003906
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato 9: φ=4.939453
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato 10: φ=5.093750
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato 11: φ=5.046875
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato 12: φ=5.007812
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato 13: φ=5.050781
2026-06-10 23:52:04 [sia_preparation] CRITICAL MainProcess: Candidato 14: φ=4.955078
